Anio,sup_siniestrada,tasa_siniestro,status_cosecha
2003,1169115.14,5.374152641478644,Pérdida Crítica
2004,1267986.46,5.7967654105911075,Pérdida Crítica
2005,2623897.02,12.125177057926942,Pérdida Crítica
2006,1014541.7,4.732849221058288,Pérdida Crítica
2007,1291854.1,5.9441422847222505,Pérdida Crítica
2008,981157.36,4.479644347898912,Pérdida Crítica
2009,2750528.75,12.598175875935599,Pérdida Crítica
2010,1373118.91,6.25488479344621,Pérdida Crítica
2011,3467570.04,15.664319970653242,Pérdida Crítica
2012,905411.02,4.133994818879047,Bajo Control
2013,972689.41,4.39859022359697,Pérdida Crítica
2014,620074.44,2.7927783780326894,Bajo Control
2015,893100.79,4.0323779535238735,Bajo Control
2016,287668.11,1.311266750065913,Bajo Control
2017,333502.7,1.5446680145326008,Bajo Control
2018,411301.12,1.9434868598843877,Bajo Control
2019,844098.54,4.084791024091295,Bajo Control
2020,702929.19,3.878129364300526,Bajo Control
2021,541695.91,2.9878113953075855,Bajo Control
2022,179893.7,0.8746563220524898,Bajo Control
2023,1177045.39,5.878292149463367,Pérdida Crítica
2024,367062.89,1.8352421148496643,Bajo Control
