estado,year,nivel
Aguascalientes,2005,0.0
Aguascalientes,2006,0.935064935064935
Aguascalientes,2007,0.12121212121212122
Aguascalientes,2008,0.7735849056603774
Aguascalientes,2009,0.29545454545454547
Aguascalientes,2011,2.3454545454545452
Aguascalientes,2012,0.8493150684931506
Aguascalientes,2013,0.0
Aguascalientes,2014,0.0
Aguascalientes,2016,0.0
Aguascalientes,2017,0.553030303030303
Aguascalientes,2019,0.44755244755244755
Aguascalientes,2020,0.3125
Aguascalientes,2021,1.248062015503876
Aguascalientes,2022,0.6972972972972973
Aguascalientes,2023,2.0711462450592886
Aguascalientes,2024,1.8860759493670887
Baja California,2003,0.8444444444444444
Baja California,2004,0.45454545454545453
Baja California,2006,0.3684210526315789
Baja California,2007,2.2738095238095237
Baja California,2008,1.1
Baja California,2009,1.3846153846153846
Baja California,2010,0.10526315789473684
Baja California,2011,0.0
Baja California,2012,0.37037037037037035
Baja California,2013,0.6530612244897959
Baja California,2014,1.5384615384615385
Baja California,2015,2.0925925925925926
Baja California,2016,2.8333333333333335
Baja California,2017,0.7647058823529411
Baja California,2018,1.7976190476190477
Baja California,2019,0.18181818181818182
Baja California,2020,0.2037037037037037
Baja California,2021,1.1547619047619047
Baja California,2022,1.60625
Baja California,2023,0.26582278481012656
Baja California,2024,0.7804878048780488
Baja California Sur,2003,1.0
Baja California Sur,2004,0.0
Baja California Sur,2005,0.0
Baja California Sur,2006,0.6486486486486487
Baja California Sur,2007,0.7735849056603774
Baja California Sur,2008,1.048780487804878
Baja California Sur,2009,0.6857142857142857
Baja California Sur,2010,0.37037037037037035
Baja California Sur,2011,1.35
Baja California Sur,2012,1.2105263157894737
Baja California Sur,2013,0.0
Baja California Sur,2014,0.0
Baja California Sur,2016,0.0
Baja California Sur,2017,0.0
Baja California Sur,2018,0.5
Baja California Sur,2019,0.0
Baja California Sur,2020,0.3582089552238806
Baja California Sur,2021,1.330188679245283
Baja California Sur,2022,0.972972972972973
Baja California Sur,2023,0.35294117647058826
Baja California Sur,2024,0.22727272727272727
Campeche,2003,0.16853932584269662
Campeche,2004,0.1232876712328767
Campeche,2005,0.7375
Campeche,2006,0.17857142857142858
Campeche,2007,0.8314606741573034
Campeche,2008,0.48672566371681414
Campeche,2009,1.6282051282051282
Campeche,2010,1.8681318681318682
Campeche,2011,0.9775280898876404
Campeche,2012,0.15384615384615385
Campeche,2013,0.2571428571428571
Campeche,2014,0.0
Campeche,2015,0.075
Campeche,2016,0.46396396396396394
Campeche,2017,0.43529411764705883
Campeche,2018,0.6159420289855072
Campeche,2019,0.5911111111111111
Campeche,2020,0.5245901639344263
Campeche,2021,0.010752688172043012
Campeche,2022,0.023255813953488372
Campeche,2023,0.3842364532019704
Campeche,2024,0.6369426751592356
Chiapas,2003,0.1611295681063123
Chiapas,2004,0.5329593267882188
Chiapas,2005,0.6423927178153446
Chiapas,2006,0.22932330827067668
Chiapas,2007,0.6750298685782556
Chiapas,2008,0.07605633802816901
Chiapas,2009,0.8757440476190477
Chiapas,2010,2.0445344129554655
Chiapas,2011,0.27816901408450706
Chiapas,2012,0.0
Chiapas,2013,0.05537459283387622
Chiapas,2014,0.0
Chiapas,2015,0.434273916035788
Chiapas,2016,0.6008629989212514
Chiapas,2017,0.14232673267326731
Chiapas,2018,0.5959595959595959
Chiapas,2019,0.7108632796365139
Chiapas,2020,0.12903225806451613
Chiapas,2021,0.05349344978165939
Chiapas,2022,0.11708860759493671
Chiapas,2023,0.3433766233766234
Chiapas,2024,0.8306208559373116
Chihuahua,2003,1.1685214626391096
Chihuahua,2004,0.49504950495049505
Chihuahua,2005,0.05714285714285714
Chihuahua,2006,1.5016447368421053
Chihuahua,2007,0.3994252873563218
Chihuahua,2008,0.41404358353510895
Chihuahua,2009,0.05405405405405406
Chihuahua,2010,0.286231884057971
Chihuahua,2011,2.753494282083863
Chihuahua,2012,1.547925608011445
Chihuahua,2013,0.4157303370786517
Chihuahua,2014,0.3049932523616734
Chihuahua,2015,0.09278350515463918
Chihuahua,2016,0.2706185567010309
Chihuahua,2017,0.07451923076923077
Chihuahua,2018,0.3457172342621259
Chihuahua,2019,0.2537128712871287
Chihuahua,2020,1.2451967063129004
Chihuahua,2021,1.6062091503267975
Chihuahua,2022,1.2772946859903382
Chihuahua,2023,1.5159141376757956
Chihuahua,2024,3.2587064676616917
Ciudad de México,2003,0.0
Ciudad de México,2005,0.0
Ciudad de México,2006,0.5803571428571429
Ciudad de México,2007,0.6111111111111112
Ciudad de México,2008,0.33116883116883117
Ciudad de México,2009,1.6354166666666667
Ciudad de México,2010,0.041666666666666664
Ciudad de México,2011,0.7829457364341085
Ciudad de México,2012,0.0
Ciudad de México,2013,0.24390243902439024
Ciudad de México,2014,0.0
Ciudad de México,2015,0.0
Ciudad de México,2016,0.1715686274509804
Ciudad de México,2017,0.17333333333333334
Ciudad de México,2018,0.0
Ciudad de México,2019,0.07738095238095238
Ciudad de México,2020,0.0
Ciudad de México,2021,0.33620689655172414
Ciudad de México,2022,0.027149321266968326
Ciudad de México,2023,0.48641304347826086
Ciudad de México,2024,1.7403846153846154
Coahuila de Zaragoza,2003,0.5906040268456376
Coahuila de Zaragoza,2005,0.3146067415730337
Coahuila de Zaragoza,2006,1.4703087885985748
Coahuila de Zaragoza,2007,0.47398843930635837
Coahuila de Zaragoza,2008,0.896774193548387
Coahuila de Zaragoza,2009,0.7528089887640449
Coahuila de Zaragoza,2010,0.626984126984127
Coahuila de Zaragoza,2011,2.9344262295081966
Coahuila de Zaragoza,2012,1.5325581395348837
Coahuila de Zaragoza,2013,1.004149377593361
Coahuila de Zaragoza,2014,0.28654970760233917
Coahuila de Zaragoza,2015,0.09433962264150944
Coahuila de Zaragoza,2016,0.10218978102189781
Coahuila de Zaragoza,2017,0.11400651465798045
Coahuila de Zaragoza,2018,0.9216152019002375
Coahuila de Zaragoza,2019,0.4656964656964657
Coahuila de Zaragoza,2020,0.9283819628647215
